barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
124992,null,74964,R. K. Godfrey,null,USA,Madison Co.,Cyperaceae,caerex,null,null,70689,null,null,null,TRUE,null,null,aureolensis,Steud.,null,North America,05/15/1976,Along the Aucilla River at crossing of US 19/ US 27.,Aug 2025,Borders of swamp.,Fertile,null,null,null,null,Rhizomatous and colonial.,null,null,null,null,FALSE,null,-83.766547,W,30.416873,N,https://cdn.plantatlas.org/img/specimens/USF/124992.jpg
172556,null,11380,G. Wilhelm,,USA,Walton Co.,Cyperaceae,Carex,null,null,70146,null,null,null,TRUE,2880,null,abscondita,Mack.,null,North America,05/15/1983,"Ca. 3 mi. SE of Knox Hill, 2.3 mi. E of junction of FL 183 and FL 81 at end of dirt road along Choctawhatchee River. T3N, R17E, Sec. 35, E½ of SW¼.",null,null,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-86.1,W,30.3667,N,https://cdn.plantatlas.org/img/specimens/USF/172556.jpg
192121,null,425,J. R. Manhart,A. Gholson,USA,Jackson Co.,Cyperaceae,Carex,null,null,70148,null,null,null,TRUE,2880,null,abscondita,Mack.,null,North America,04/14/1982,"Apalachicola River, between US 90 and Jim Woodruff Dam.",null,Sandy alluvial floodplain.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-84.98333,W,29.72556,N,https://cdn.plantatlas.org/img/specimens/USF/192121.jpg
226671,null,21427,S. L. Orzell,E.L. Bridges,USA,Walton Co.,Cyperaceae,Carex,null,null,70144,null,null,null,TRUE,2880,null,abscondita,Mack.,null,North America,04/08/1993,"N side of Mossy Bend Road, 0.2 mi. from FL 81, ca. 1.1 air mi. SE of Redbay, ca. 14.3 air mi. SE of DeFuniak Springs. T2N, R17W, Sec. 15, SE¼ of SE¼ of NW¼.",null,N-facing mesic hardwood slope and upland mixed forest. Soils - Orangeburg (Typic Paleudults).,Fertile,null,null,null,null,null,null,70,170,ft,FALSE,null,-85.92972222,W,30.58138889,N,https://cdn.plantatlas.org/img/specimens/USF/226671.jpg
204659,null,13057,S. L. Orzell,E.L. Bridges,USA,Leon Co.,Cyperaceae,Carex,null,null,70143,null,null,null,TRUE,2880,null,abscondita,Mack.,null,North America,03/31/1990,"W side of Ochlocknee River, ca. 0.2 mi. N of FL 375, ca. 1 mi. W of intersection Forest Service Road 390, ca. 4 mi. SW of Bloxham. T1S, R4W, Sec. 31, NW¼ of NW¼ of SW¼.",null,Mesic hardwood bluff and acid seep forests.,Fertile,null,null,null,null,null,null,75,105,ft,FALSE,Apalachicola National Forest,-84.67944444,W,30.35194444,N,https://cdn.plantatlas.org/img/specimens/USF/204659.jpg
228944,null,19211,S. L. Orzell,E.L. Bridges,USA,Liberty Co.,Cyperaceae,Carex,null,null,70145,null,null,null,TRUE,2880,null,abscondita,Mack.,null,North America,03/20/1992,"E of Apalachicola River floodplain (at River Mile 97), ca. 2.2 air mi. S of I-10 bridge, ca. 4.5 air mi. NW of junction FL 271 and FL 270. T2N, R7W, Sec. 3, NE¼ of NE¼ of NE¼.",null,Calcareous mesic hardwood forest in steep NNW-facing ravines.,Fertile,null,null,null,null,null,null,60,170,ft,FALSE,null,-84.92027778,W,30.60416667,N,https://cdn.plantatlas.org/img/specimens/USF/228944.jpg
224257,null,21479,S. L. Orzell,E.L. Bridges,USA,Santa Rosa Co.,Cyperaceae,Carex,null,null,70147,null,null,null,TRUE,2880,null,abscondita,Mack.,null,North America,04/09/1993,"Above Bristow Lake on Escambia River floodplain, ca. 0.4 air mi. N of FL 4, ca. 3.6 air mi. WNW of Jay. T5N, R30W, Sec. 40.",null,Edge of floodplain forest below W-facing slope.,Fertile,null,null,null,null,null,null,50,60,ft,FALSE,null,-87.20944444,W,30.96194444,N,https://cdn.plantatlas.org/img/specimens/USF/224257.jpg
157108,null,8297,B. F. Hansen,G. Robinson,USA,Volusia Co.,Cyperaceae,Carex,null,null,70101,null,null,null,TRUE,2990,null,alata,Torr.,null,North America,05/20/1981,"6.1 - 2.4 mi. W of Oak Hill (junction US 1) on the Maytown road (W Halifax Avenue). T19S, R34E, John Low Grant, NE¼.",null,Roadside in hardwood swamp.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-80.95,W,28.8,N,https://cdn.plantatlas.org/img/specimens/USF/157108.jpg
43569,null,8168,G. R. Cooley,L.J. Brass,USA,Hamilton Co.,Cyperaceae,Carex,null,null,70096,null,null,null,TRUE,2990,null,alata,Torr.,null,North America,04/29/1961,Halfway between Jasper and White Springs.,Feb 1979,Along ditch at margin of mixed wood.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.94819,W,30.518273,N,https://cdn.plantatlas.org/img/specimens/USF/43569.jpg
44716,null,8211,G. R. Cooley,"R.J. Eaton, C.E. Wood, Jr.",USA,Sumter Co.,Cyperaceae,Carex,null,null,70106,null,null,null,TRUE,2990,null,alata,Torr.,null,North America,05/01/1961,"Withlacoochee River at FL 50 near Hernando County line. T22S, R22E, Sec. 34.",1969,Cypress [Taxodium] bottomland; on fallen log beneath Taxodium.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/44716.jpg
