Scientific Name,County,County Code,Herbarium Code,Year Vouchered,Distribution Notes,Submitted By,Date Submitted,Town,Herbarium Name Used,Specimen URL,Lit Code,
Carex vulpinoidea,Gadsden,GAD,ILLS,null,null,null,2026-01-13T00:00:00,null,null,null,null,
Carex striatula,Columbia,CLU,ILLS,null,null,null,2026-01-13T00:00:00,null,null,null,null,
Carex striata,Calhoun,CAL,ILLS,null,null,null,2026-01-13T00:00:00,null,null,null,null,
Carex gigantea,Hendry,HEN,ILLS,null,null,null,2026-01-13T00:00:00,null,null,null,null,
Carex gigantea,Hendry,HEN,null,null,null,null,2026-01-13T00:00:00,null,null,null,null,
Carex flaccosperma,Calhoun,CAL,ILLS,null,null,null,2026-01-13T00:00:00,null,null,null,null,
Carex caroliniana,Calhoun,CAL,ILLS,null,null,null,2026-01-13T00:00:00,null,null,null,null,
Carex atlantica subsp. capillacea,Osceola,OSC,ILLS,null,null,null,2026-01-13T00:00:00,null,null,null,null,
Carex blanda,Taylor,TAY,FLAS,null,null,null,2025-12-16T00:00:00,null,null,null,null,
Carex aureolensis,Putnam,PUT,FLAS,null,null,null,2025-09-12T00:00:00,null,null,null,null,
Carex tribuloides,Hernando,HER,USF,null,null,null,2025-09-11T00:00:00,null,null,null,null,
Carex gigantea,Clay,CLA,FLAS,null,,null,2025-05-22T00:00:00,null,null,null,,
Carex verrucosa,Citrus,CIT,USF,null,,null,2025-05-01T00:00:00,null,null,null,,
Carex striata,Flagler,FLA,FLAS,null,,null,2025-04-04T00:00:00,null,null,null,,
Carex elliottii,Baker,BAK,USF,null,,null,2025-04-04T00:00:00,null,null,null,,
Carex leptalea,Duval,DUV,USF,null,,null,2025-04-04T00:00:00,null,null,null,,
Carex gholsonii,Hernando,HER,USF,null,null,null,2025-02-17T00:00:00,null,null,null,null,
Carex atlantica subsp. capillacea,null,VOL,FLAS,null,null,null,null,null,null,null,null,
Carex gigantea,null,MAN,USF,null,null,null,null,null,null,null,null,
Carex comosa,null,MAN,USF,null,null,null,null,null,null,null,null,
Carex intumescens,null,HIL,USF,null,null,null,null,null,null,null,null,
Carex aureolensis,null,HIL,USF,null,null,null,null,null,null,null,null,
Carex fissa var. aristata,null,POL,USF,null,null,null,null,null,null,null,null,
