Name,Code,FIPS Code,Short Name,Full Name,State,
Alachua,ALA,12001,null,null,null,
Baker,BAK,12003,null,null,null,
Bay,BAY,12005,null,null,null,
Bradford,BRA,12007,null,null,null,
Brevard,BRE,12009,null,null,null,
Broward,BRO,12011,null,null,null,
Calhoun,CAL,12013,null,null,null,
Charlotte,CHA,12015,null,null,null,
Citrus,CIT,12017,null,null,null,
Clay,CLA,12019,null,null,null,
Collier,CLL,12021,null,null,null,
Columbia,CLU,12023,null,null,null,
DeSoto,DES,12027,null,null,null,
Dixie,DIX,12029,null,null,null,
Duval,DUV,12031,null,null,null,
Escambia,ESC,12033,null,null,null,
Flagler,FLA,12035,null,null,null,
Franklin,FRA,12037,null,null,null,
Gadsden,GAD,12039,null,null,null,
Gilchrist,GIL,12041,null,null,null,
Glades,GLA,12043,null,null,null,
Gulf,GUL,12045,null,null,null,
Hamilton,HAM,12047,null,null,null,
Hardee,HAR,12049,null,null,null,
Hendry,HEN,12051,null,null,null,
Hernando,HER,12053,null,null,null,
Highlands,HIG,12055,null,null,null,
Hillsborough,HIL,12057,null,null,null,
Holmes,HOL,12059,null,null,null,
Indian River,IND,12061,null,null,null,
Jackson,JAC,12063,null,null,null,
Jefferson,JEF,12065,null,null,null,
Lafayette,LAF,12067,null,null,null,
Lake,LAK,12069,null,null,null,
Lee,LEE,12071,null,null,null,
Leon,LEO,12073,null,null,null,
Levy,LEV,12075,null,null,null,
Liberty,LIB,12077,null,null,null,
Madison,MAD,12079,null,null,null,
Manatee,MAN,12081,null,null,null,
Marion,MAR,12083,null,null,null,
Martin,MRT,12085,null,null,null,
Miami-Dade,DAD,12086,null,null,null,
Monroe Keys,MOK,12135,null,null,null,
Monroe Mainland,MOM,12087,null,null,null,
Nassau,NAS,12089,null,null,null,
Okaloosa,OKA,12091,null,null,null,
Okeechobee,OKE,12093,null,null,null,
Orange,ORA,12095,null,null,null,
Osceola,OSC,12097,null,null,null,
Palm Beach,PAL,12099,null,null,null,
Pasco,PAS,12101,null,null,null,
Pinellas,PIN,12103,null,null,null,
Polk,POL,12105,null,null,null,
Putnam,PUT,12107,null,null,null,
Santa Rosa,SAN,12113,null,null,null,
Sarasota,SAR,12115,null,null,null,
Seminole,SEM,12117,null,null,null,
St. Johns,STJ,12109,null,null,null,
St. Lucie,STL,12111,null,null,null,
Sumter,SUM,12119,null,null,null,
Suwannee,SUW,12121,null,null,null,
Taylor,TAY,12123,null,null,null,
Union,UNI,12125,null,null,null,
Unknown,UNK,0,null,null,null,
Volusia,VOL,12127,null,null,null,
Wakulla,WAK,12129,null,null,null,
Walton,WAL,12131,null,null,null,
Washington,WAS,12133,null,null,null,
