"","Family","Scientific.Name","Infraspecies","Common.Name","Specimens","Photo.s."
"1","CYPERACEAE","Carex abscondita","null","THICKET SEDGE","Y","N"
"2","CYPERACEAE","Carex alata","null","BROADWING SEDGE","Y","N"
"3","CYPERACEAE","Carex albicans var. australis","var. australis","WHITETINGE SEDGE","Y","N"
"4","CYPERACEAE","Carex albicans var. emmonsii","var. emmonsii","EMMONS' SEDGE","Y","N"
"5","CYPERACEAE","Carex albolutescens","null","GREENWHITE SEDGE","Y","N"
"6","CYPERACEAE","Carex atlantica subsp. atlantica","subsp. atlantica","ATLANTIC SEDGE","Y","N"
"8","CYPERACEAE","Carex aureolensis","null","GOLDENFRUIT SEDGE","Y","N"
"9","CYPERACEAE","Carex austrodeflexa","null","null","N","N"
"11","CYPERACEAE","Carex basiantha","null","null","Y","N"
"12","CYPERACEAE","Carex blanda","null","EASTERN WOODLAND SEDGE","Y","N"
"14","CYPERACEAE","Carex calcifugens","null","CALCIUM-FLEEING SEDGE","Y","N"
"20","CYPERACEAE","Carex complanata","null","BLUE SEDGE","Y","N"
"21","CYPERACEAE","Carex corrugata","null","EASTERN NARROWLEAF SEDGE","Y","N"
"22","CYPERACEAE","Carex crebriflora","null","COASTALPLAIN SEDGE","Y","N"
"23","CYPERACEAE","Carex crus-corvi","null","RAVENFOOT SEDGE","Y","N"
"25","CYPERACEAE","Carex debilis","null","WHITE-EDGE SEDGE","Y","N"
"26","CYPERACEAE","Carex decomposita","null","CYPRESSKNEE SEDGE","Y","N"
"27","CYPERACEAE","Carex digitalis","null","SLENDER WOODLAND SEDGE","Y","N"
"28","CYPERACEAE","Carex elliottii","null","ELLIOTT'S SEDGE","Y","N"
"29","CYPERACEAE","Carex festucacea","null","FESCUE SEDGE","Y","N"
"31","CYPERACEAE","Carex flaccosperma","null","THINFRUIT SEDGE","Y","N"
"36","CYPERACEAE","Carex gracilescens","null","SLENDER LOOSEFLOWER SEDGE","Y","N"
"38","CYPERACEAE","Carex grayi","null","GRAY'S SEDGE","Y","N"
"41","CYPERACEAE","Carex kraliana","null","KRAL'S SEDGE","N","N"
"46","CYPERACEAE","Carex lupulina","null","HOP SEDGE","Y","N"
"48","CYPERACEAE","Carex microdonta","null","LITTLETOOTH SEDGE","Y","N"
"49","CYPERACEAE","Carex mitchelliana","null","MITCHELL'S SEDGE","Y","N"
"53","CYPERACEAE","Carex pigra","null","TARHEEL SEDGE","Y","N"
"54","CYPERACEAE","Carex reniformis","null","KIDNEYSHAPE SEDGE","Y","N"
"56","CYPERACEAE","Carex rosea","null","ROSY SEDGE","Y","N"
"57","CYPERACEAE","Carex seorsa","null","WEAK STELLATE SEDGE","Y","N"
"60","CYPERACEAE","Carex striatula","null","LINED SEDGE","Y","N"
"61","CYPERACEAE","Carex styloflexa","null","BENT SEDGE","Y","N"
"62","CYPERACEAE","Carex superata","null","null","Y","N"
"63","CYPERACEAE","Carex tenax","null","WIRE SEDGE","Y","N"
"64","CYPERACEAE","Carex thornei","null","THORNE'S SEDGE","N","N"
"65","CYPERACEAE","Carex tribuloides","null","BLUNT BROOM SEDGE","Y","N"
"66","CYPERACEAE","Carex typhina","null","CATTAIL SEDGE","Y","N"
"69","CYPERACEAE","Carex vulpinoidea","null","FOX SEDGE","Y","N"
