barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
78263,null,44497,A. E. Radford,,USA,Dorchester Co.,Cyperaceae,Carex,null,null,120885,null,null,null,TRUE,2314,null,chapmannii,Steud.,null,North America,04/19/1962,"Roadside US 17A, 4 mi. N of Spooler Creek.",null,null,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/78263.jpg
141709,null,5460,B. F. Hansen,D.R. Richardson,USA,Marion Co.,Cyperaceae,Carex,null,null,23453,null,null,null,TRUE,2314,null,chapmannii,Steud.,null,North America,05/04/1979,Contact USF Herbarium if additional information is required,Mar 1994,Low forest along creek bank.,Fertile,null,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/141709.jpg
145391,null,6923,B. F. Hansen,"D.R. Richardson, R.P. Sauleda",USA,Citrus Co.,Cyperaceae,Carex,null,null,23452,null,null,null,TRUE,2314,null,chapmannii,Steud.,null,North America,03/18/1980,Contact USF Herbarium if additional information is required,Mar 1994,River-bottom swamp woods.,Fertile,null,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/145391.jpg
154632,null,8152,B. F. Hansen,"R.P. Wunderlin, D.R. Richardson",USA,Lake Co.,Cyperaceae,Carex,null,null,23447,null,null,null,TRUE,2314,null,chapmannii,Steud.,null,North America,03/23/1981,Contact USF Herbarium if additional information is required,Mar 1994,Swampy woods along creek.,Fertile,null,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/154632.jpg
226107,null,11486,C. Slaughter,"M. Minnoo, S. Meyers",USA,Putnam Co.,Cyperaceae,Carex,null,null,23449,null,null,null,TRUE,2314,null,chapmannii,Steud.,null,North America,04/04/2000,Contact USF Herbarium if additional information is required,Sep 2000,Sweet gum [Liquidambar styraciflua] mixed oak hardwood community next to small creek.,Fertile,null,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/226107.jpg
213667,null,435,C. vanHoek,S. Petty,USA,Sumter Co.,Cyperaceae,Carex,null,null,23445,null,null,null,TRUE,2314,null,chapmannii,Steud.,null,North America,04/14/1995,Contact USF Herbarium if additional information is required,24-Apr-1995,Bottomland forest.,Fertile,null,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/213667.jpg
259990,null,WW0079,E. Gandy,,USA,Hernando Co.,Cyperaceae,Carex,null,null,64250,null,null,null,TRUE,2314,null,chapmannii,Steud.,null,North America,03/06/2009,Contact USF Herbarium if additional information is required,Apr 2011,Hydric hammock.,Fertile,null,null,null,null,null,null,null,null,null,TRUE,Weeki Wachee Springs State Park,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/259990.jpg
19070,null,7322,G. R. Cooley,R.J. Eaton,USA,Citrus Co.,Cyperaceae,Carex,null,null,23451,null,null,null,TRUE,2314,null,chapmannii,Steud.,null,North America,04/28/1960,Contact USF Herbarium if additional information is required,Mar 1994,In leaf mold in deep shade.,Fertile,null,null,null,null,null,null,null,null,null,TRUE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/19070.jpg
244761,null,2103,J. M. Kunzer,,USA,Volusia Co.,Cyperaceae,Carex,null,null,23450,null,null,null,TRUE,2314,null,chapmannii,Steud.,null,North America,04/07/2007,Contact USF Herbarium if additional information is required,null,Hydric hammock in seepage basin.,Fertile,null,null,null,null,null,null,null,null,null,TRUE,Bulow Creek State Park,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/244761.jpg
245549,null,2308,J. M. Kunzer,,USA,Flagler Co.,Cyperaceae,Carex,null,null,27781,null,null,null,TRUE,2314,null,chapmannii,Steud.,null,North America,03/21/2008,Contact USF Herbarium if additional information is required,null,Seepage area in hydric hammock.,Fertile,null,null,null,null,null,null,null,null,null,TRUE,Bulow Creek State Park,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/245549.jpg
