Record Format,Scientific Name,Common Name,Family,Genus,Specimens,Photo(s),Infraspecies,Infraspecies Author,Ecology,Native,Endemic,DEP,EPPC1,EPPC2,Global Rank Comment,Growth Habit,Nature Serve,NWI,Plant Notes,Species,Species Author,State Rank Comment,Status State,Status US,Taxon Notes,USDA Symbol,WAP
Accepted Name,Carex abscondita,THICKET SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,abscondita,Mack.,null,,,null,null,null
Accepted Name,Carex alata,BROADWING SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,OBL,null,alata,Torr.,null,,,null,null,null
Accepted Name,Carex albicans var. australis,WHITETINGE SEDGE,CYPERACEAE,Carex,Y,N,var. australis,(L.H.Bailey)Rettig,null,Y,N,FACW,N,N,null,null,null,FAC,null,albicans,Willd. ex Spreng.,null,,,null,null,null
Accepted Name,Carex albicans var. emmonsii,EMMONS' SEDGE,CYPERACEAE,Carex,Y,N,var. emmonsii,(Dewey ex Torr.)Rettig,null,Y,N,null,N,N,null,null,null,null,null,albicans,Willd. ex Spreng.,null,,,null,null,null
Accepted Name,Carex albolutescens,GREENWHITE SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,null,N,N,null,null,null,FACW,null,albolutescens,Schwein.,null,,,null,null,null
Accepted Name,Carex atlantica subsp. atlantica,ATLANTIC SEDGE,CYPERACEAE,Carex,Y,N,subsp. atlantica,null,null,Y,N,OBL,N,N,null,null,null,FACW,null,atlantica,L.H.Bailey,null,,,null,null,null
Accepted Name,Carex aureolensis,GOLDENFRUIT SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,OBL,null,aureolensis,Steud.,null,,,null,null,null
Accepted Name,Carex austrodeflexa,null,CYPERACEAE,Carex,N,N,null,null,null,Y,N,null,N,N,null,null,null,null,null,austrodeflexa,P.D.McMillan et al.,null,,,null,null,null
Accepted Name,Carex basiantha,null,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,basiantha,Steud.,null,,,null,null,null
Accepted Name,Carex blanda,EASTERN WOODLAND SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FAC,null,blanda,Dewey,null,,,null,null,null
Accepted Name,Carex calcifugens,CALCIUM-FLEEING SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,null,N,N,null,null,null,null,null,calcifugens,Naczi,null,,,null,null,null
Accepted Name,Carex complanata,BLUE SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FAC,null,complanata,Torr. & Hook.,null,,,null,null,null
Accepted Name,Carex corrugata,EASTERN NARROWLEAF SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,null,N,N,null,null,null,FACW,null,corrugata,Fernald,null,,,null,null,null
Accepted Name,Carex crebriflora,COASTALPLAIN SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,crebriflora,Wiegand,null,,,null,null,null
Accepted Name,Carex crus-corvi,RAVENFOOT SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,OBL,N,N,null,null,null,OBL,null,crus-corvi,Shuttlew. ex Kunze,null,,,null,null,null
Accepted Name,Carex debilis,WHITE-EDGE SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,debilis,Michx.,null,,,null,null,null
Accepted Name,Carex decomposita,CYPRESSKNEE SEDGE,CYPERACEAE,Carex,Y,N,null,null,null,Y,N,OBL,N,N,null,null,null,OBL,null,decomposita,Muhl.,null,,,null,null,null
