barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
22815,null,10569,"J. D. Ray, Jr.","O. Lakela, J. Patman",USA,Hillsborough Co.,Asteraceae,Euthamia,null,null,15181,null,null,null,TRUE,3268,null,caroliniana,L.,Greene ex Porter & Britton,North America,10/28/1960,Ca. 6 mi. SE of Tampa.,1997,"Weedy waste flat formerly in longleaf pine [Pinus palustris] - cabbage palmetto [Sabal palmetto], with Serenoa repens, Solidago microcephala [Euthamia caroliniana], S. fistulosa, S. stricta, Aster exilis [Symphyotrichum subulatum?], and Helianthus angustifolius.",Flower,null,null,null,null,Scattered through field.,null,null,null,null,FALSE,null,-82.458428,W,27.947522,N,https://cdn.plantatlas.org/img/specimens/USF/22815.jpg
27393,null,23424,O. K. Lakela,,USA,Hillsborough Co.,Asteraceae,Euthamia,null,null,15182,null,null,null,TRUE,3268,null,caroliniana,L.,Greene ex Porter & Britton,North America,10/30/1960,"University of South Florida campus, Arboretum area, Tampa.",1997,"Sandhill, with Eupatorium and Liatris.",Flower,null,null,null,null,null,Common,null,null,null,FALSE,null,-82.458428,W,27.947522,N,https://cdn.plantatlas.org/img/specimens/USF/27393.jpg
77447,null,30311,O. K. Lakela,,USA,Hillsborough Co.,Asteraceae,Euthamia,null,null,15258,null,null,null,TRUE,3268,null,caroliniana,L.,Greene ex Porter & Britton,North America,10/23/1966,"University of South Florida Golf Course, Tampa.",1997,Sandhill vegetation under destruction.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.458428,W,27.947522,N,https://cdn.plantatlas.org/img/specimens/USF/77447.jpg
132631,null,68,R. Rose,,USA,Hillsborough Co.,Asteraceae,Euthamia,null,null,15009,null,null,null,TRUE,3268,null,caroliniana,L.,Greene ex Porter & Britton,North America,10/27/1977,"Along FL 581, ca. 5-10 mi. N of Tampa.",1997,Roadside.,Flower,null,null,null,null,Herb 1 m tall; flower white [?].,Common,null,null,null,FALSE,null,-82.458428,W,27.947522,N,https://cdn.plantatlas.org/img/specimens/USF/132631.jpg
141379,null,78-12-61,S. DuBois,,USA,Hillsborough Co.,Asteraceae,Euthamia,null,null,15247,null,null,null,TRUE,3268,null,caroliniana,L.,Greene ex Porter & Britton,North America,12/12/1978,E of FL 581.,1997,Pine flatwoods.,Fruit,null,null,null,null,Flower [fruiting head] white/tan.,null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/141379.jpg
131936,null,137,S. Funk,,USA,Hillsborough Co.,Asteraceae,Euthamia,null,null,15162,null,null,null,TRUE,3268,null,caroliniana,L.,Greene ex Porter & Britton,North America,10/13/1977,"University of South Florida Ecological Research Area, ca. 0.6 mi. NE of campus.",1997,Pine - oak woods.,Flower,null,null,null,null,Flowers yellow.,null,null,null,null,FALSE,null,-82,W,28,N,https://cdn.plantatlas.org/img/specimens/USF/131936.jpg
131815,null,70,J. Kuczynski,,USA,Hillsborough Co.,Asteraceae,Euthamia,null,null,41591,null,null,null,TRUE,3450,null,graminifolia,L.,Nutt.,North America,10/20/1977,null,Dec 2009,Mangrove hammock.,Bud,null,null,null,null,Flower yellow.,null,null,null,null,FALSE,Cockroach Bay Environmental Studies Center,-85.6167,W,30.2,N,https://cdn.plantatlas.org/img/specimens/USF/131815.jpg
45653,null,24833,O. K. Lakela,,USA,Hillsborough Co.,Asteraceae,Euthamia,null,null,41592,null,null,null,TRUE,3450,null,graminifolia,L.,Nutt.,North America,11/11/1961,"Bahia Beach, Tampa Bay; close to landscaped area.",Dec 2009,Bare open sand; flowers fragrant; phyllaries and leaves glandular punctate.,Flower,null,null,null,null,Single plant.,null,null,null,null,FALSE,null,-82.458428,W,27.947522,N,https://cdn.plantatlas.org/img/specimens/USF/45653.jpg
283427,null,195,A. Farid,"S. Dickman, S. Bowman",USA,Hillsborough Co.,Asteraceae,Solidago,null,null,122636,null,null,null,TRUE,1023,null,fistulosa,Mill.,null,North America,02/02/2016,"Lake Dan Nature Preserve; 1.6 km S of the Pasco County line, 3.2 km E of the Pinellas County line, 2 km N of FL 582, Odessa.",null,"Wet flatwoods, recently burned.",Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-82.62222222,W,28.15972222,N,https://cdn.plantatlas.org/img/specimens/USF/283427.jpg
151348,null,156,A. King,,USA,Hillsborough Co.,Asteraceae,Solidago,null,null,34859,null,null,null,TRUE,1023,null,fistulosa,Mill.,null,North America,11/08/1979,NE of campus.,null,"Dry pineland, sandhill community.",Immature Fruit,null,null,null,null,null,null,null,null,null,FALSE,University of South Florida Ecological Research Area,-82,W,28,N,https://cdn.plantatlas.org/img/specimens/USF/151348.jpg
