"","SrcID","cultivar_notes"
"1",30008,""
"2",180534,""
"3",160205,""
"4",160225,""
"5",231844,""
"6",207687,""
"7",191530,""
"8",210023,""
"9",191529,""
"10",199085,""
"11",193102,""
"12",208751,""
"13",232990,""
"14",192288,""
"15",194366,""
"16",232443,""
"17",232088,""
"18",91215,""
"19",215526,""
"20",195422,""
"21",195433,""
"22",227810,""
"23",191629,""
"24",181280,""
"25",174791,""
"26",210417,""
"27",229176,""
"28",178680,""
"29",213347,""
"30",44354,""
"31",231797,""
"32",198574,""
"33",194364,""
"34",195508,""
"35",212407,""
"36",231503,""
"37",227516,""
"38",194945,""
"39",180467,""
"40",232290,""
"41",195872,""
"42",185716,""
"43",185737,""
"44",197500,""
"45",190397,""
"46",191783,""
"47",196346,""
"48",178663,""
"49",194452,""
"50",231443,""
"51",193103,""
"52",169558,""
"53",169561,""
"54",232003,""
"55",227038,""
"56",232295,""
"57",175529,""
"58",225466,""
"59",215132,""
"60",197575,""
"61",193551,""
"62",169556,""
"63",232032,""
"64",174521,""
"65",227507,""
"66",232435,""
"67",230479,""
"68",38517,""
"69",107257,""
"70",27671,""
"71",228871,""
"72",134597,""
"73",131594,""
"74",116460,""
"75",116759,""
"76",116760,""
"77",119136,""
"78",129625,""
"79",129626,""
"80",116634,""
"81",116624,""
"82",116626,""
"83",116621,""
"84",116622,""
"85",116631,""
"86",116632,""
"87",116633,""
"88",117471,""
"89",116623,""
"90",116627,""
"91",116628,""
"92",116629,""
"93",116630,""
"94",237646,""
"95",117689,""
"96",119448,""
"97",119397,""
"98",119398,""
"99",119399,""
"100",119402,""
"101",117085,""
"102",117508,""
"103",117202,""
"104",108859,""
"105",108860,""
"106",117529,""
"107",117532,""
"108",116642,""
"109",117419,""
"110",107237,""
"111",107239,""
"112",116643,""
"113",126997,""
"114",131821,""
"115",131539,""
"116",130336,""
"117",99436,""
"118",99867,""
"119",107192,""
"120",107193,""
"121",117358,""
"122",132679,""
"123",129396,""
"124",117102,""
"125",79621,""
"126",81989,""
"127",64971,""
"128",1519,""
"129",152706,""
"130",161623,""
"131",238655,""
"132",91067,""
"133",237190,""
"134",5985,""
"135",2849,""
"136",86072,""
"137",120499,""
"138",6495,""
"139",59790,""
"140",45413,""
"141",131357,""
"142",130843,""
"143",133934,""
"144",174447,""
"145",142030,""
"146",136321,""
"147",128133,""
"148",24406,""
"149",35003,""
"150",233228,""
"151",233223,""
"152",233225,""
"153",233216,""
"154",233245,""
"155",175459,""
"156",69279,""
"157",27119,""
"158",206109,""
"159",206286,""
"160",241282,""
"161",201075,""
"162",233808,""
"163",222806,""
"164",209915,""
"165",210745,""
"166",204106,""
"167",239837,""
"168",211227,""
"169",152901,""
"170",205698,""
"171",118498,""
"172",230907,""
"173",191451,""
"174",174938,""
"175",194686,""
"176",174792,""
"177",201993,""
"178",213536,""
"179",226235,""
"180",237948,""
"181",226722,""
"182",202740,""
"183",204105,""
"184",211245,""
"185",211239,""
"186",160772,""
"187",231791,""
"188",231794,""
"189",161044,""
"190",1798,""
"191",43325,""
"192",33313,""
"193",228693,""
"194",46163,""
"195",33476,""
"196",59753,""
"197",59406,""
"198",144299,""
"199",156000,""
"200",60437,""
"201",69020,""
"202",42048,""
"203",199183,""
"204",185739,""
"205",186549,""
"206",191620,""
"207",202907,""
"208",224174,""
"209",221225,""
"210",219646,""
"211",220541,""
"212",131969,""
"213",131973,""
"214",131958,""
"215",131959,""
"216",128258,""
"217",165042,""
"218",204191,""
"219",164132,""
"220",204948,""
"221",221228,""
"222",129948,""
"223",143975,""
"224",186704,""
"225",224587,""
"226",233787,""
"227",235469,""
"228",135885,""
"229",226240,""
"230",223707,""
"231",221062,""
"232",233745,""
"233",235246,""
"234",235243,""
"235",204950,""
"236",241144,""
"237",203084,""
"238",223444,""
"239",165139,""
"240",162511,""
"241",162514,""
"242",175178,""
"243",242389,""
"244",209402,""
"245",210458,""
"246",201583,""
"247",201584,""
"248",209598,""
"249",222972,""
"250",204174,""
"251",204175,""
"252",164906,""
"253",233657,""
"254",135732,""
"255",136691,""
"256",136680,""
"257",144120,""
"258",162369,""
"259",162370,""
"260",215593,""
"261",201662,""
"262",201381,""
"263",234750,""
"264",201768,"Cultivated but cut down."
"265",239438,""
"266",239440,""
"267",234166,""
"268",234712,""
"269",235558,""
"270",203517,""
"271",201726,""
"272",158056,""
"273",153427,""
"274",148821,""
"275",149210,""
"276",162073,""
"277",203392,""
"278",208071,""
"279",214290,""
"280",222340,""
"281",226641,""
"282",23318,""
"283",233323,""
"284",211200,""
"285",211207,""
"286",207418,""
"287",209731,""
"288",148818,""
"289",158046,""
"290",220551,""
"291",222724,""
"292",151298,""
"293",220051,""
"294",201095,""
"295",201395,""
"296",79001,""
"297",201476,""
"298",213259,""
"299",157287,""
"300",219736,""
"301",157713,""
"302",201875,""
"303",201964,""
"304",202417,""
"305",201847,""
"306",157646,""
"307",210283,""
"308",157670,""
"309",238863,""
"310",200615,""
"311",214626,""
"312",205425,""
"313",44063,""
"314",128725,""
"315",128726,""
"316",128727,""
"317",128728,""
"318",128660,""
"319",128661,""
"320",128662,""
"321",128675,""
"322",128704,""
"323",128705,""
"324",128706,""
"325",128707,""
"326",128708,""
"327",128709,""
"328",128710,""
"329",128711,""
"330",128712,""
"331",128713,""
"332",128714,""
"333",128715,""
"334",128718,""
"335",128719,""
"336",128720,""
"337",128721,""
"338",128722,""
"339",128723,""
"340",128733,""
"341",128957,""
"342",128964,""
"343",128965,""
"344",128966,""
"345",128967,""
"346",128968,""
"347",128971,""
"348",128972,""
"349",128729,""
"350",128724,""
"351",214544,""
"352",214546,""
"353",217368,""
"354",207335,""
"355",237323,""
"356",217869,""
"357",238717,""
"358",209850,""
"359",220771,""
"360",220772,""
"361",132457,""
"362",211789,""
"363",234910,""
"364",211842,""
"365",162469,""
"366",162470,""
"367",223999,""
