"","barcode","collAbbreviation","collNo_Text","collector_Text","collrTeam_Text","country","county","family","genus","herbariumCode","herbariumDetailsUrl","collectionID","infraspecies","infraspecies_Author1_Text","infraspecies_Author2_Text","photoExists","plantID","rank","species","species_Author1_Text","species_Author2_Text","Continent","Collection.Date","Locality","DetDate_Text","Habitat","RepState1","RepState2","RepState3","RepState4","Type","PlDescr","Frequency","elevL","ElevH","ElevUnits","Endangered","Named_Place","LongDecL","LongDirL","LatDecL","LatDirL","SpecimenImageURL"
"1",38644,"null","24479","O. K. Lakela","null","USA","Hernando Co.","Caprifoliaceae","Abelia","null","null",132509,"null","null","null",TRUE,"null","null","chinensis","R. Br.","null","North America","07/25/1961","Planted along US 41 ca. 6 mi. N of Brooksville; Chinsegut National Wildlife Refuge.","null","null","Flower","null","null","null","null","Attractive shrubs; cultigens.","null","null","null","null",FALSE,"null","-82.387871","W","28.555272","N","https://cdn.plantatlas.org/img/specimens/USF/38644.jpg"
"2",212950,"null","25907","S. R. Hill","J. Gable","USA","Pickens Co.","Caprifoliaceae","Abelia","null","null",132513,"null","null","null",TRUE,"415","null","x grandiflora","Rovelli ex André","Rehder","North America","07/09/1994","Keowee-Toxaway State Park, E side; 0.3 mi. NW of Lake Diana/SC 133.","Jul 1994","Old roadbed NE of granite outcrops; E boundary of park; now in woodland.","null","null","null","null","null","Flowers white; single large shrub 10 ft. tall, numerous stems; probably persisting from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/212950.JPG"
"4",121667,"null","s.n.","E. Walther","null","USA","San Francisco Co.","Pinaceae","Abies","null","null",237278,"null","null","null",TRUE,"null","null","venusta","Douglas ex Hook.","K. Koch","North America","10/01/1953","Strybing Arboretum, Golden Gate Park, San Fransisco.","null","null","null","null","null","null","null","Cones rare in cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/121667.jpg"
"8",116264,"null","16528","D. B. Dunn","","USA","Miami-Dade Co.","Euphorbiaceae","Acalypha","null","null",128512,"null","null","null",TRUE,"1420","null","wilkesiana","Müll. Arg.","null","North America","04/02/1970","City of Homestead in vacant lots.","27-Mar-2018","Soil a sandy loam from decomposed marl.","Flower","null","null","null","null","Cultivated trees or shrubs.","null","null","null","null",FALSE,"null","-80.477557","W","25.468722","N","https://cdn.plantatlas.org/img/specimens/USF/116264.jpg"
"12",238577,"null","499","J. M. Kunzer","","USA","Volusia Co.","Sapindaceae","Acer","null","null",17168,"null","null","null",TRUE,"3408","null","negundo","L.","null","North America","04/09/2004","727 Chicago Avenue; ca, 3.5 mi. ENE of the junction of I-95 and I-4.  T15S, R33E, Sec. 29.","null","null","Immature Fruit","null","null","null","null","Small tree ca. 9 m tall, ca. 20 cm dbh, growing as a volunteer; this tree was non-cultivated.","null","null","null","null",FALSE,"South Daytona","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/238577.jpg"
"13",242270,"null","s.n.","S. Dickman","","USA","Hillsborough Co.","Sapindaceae","Acer","null","null",129108,"null","null","null",TRUE,"3408","null","negundo","L.","null","North America","01/27/2006","S side of 3400 block of E Yukon Street, N bank of Hillsoborough River, Tampa. T28S, R20E, Sec. 20, SE¼.","null","null","Flower","null","null","null","null","Medium size, bushy tree persisted from cultivation.","null","null","null","null",FALSE,"null","-82.458428","W","27.947522","N","https://cdn.plantatlas.org/img/specimens/USF/242270.jpg"
"14",131723,"null","117","R. Lassiter","","USA","Hillsborough Co.","Sapindaceae","Acer","null","null",129123,"null","null","null",TRUE,"2120","null","rubrum","L.","null","North America","07/16/1968","Buffalo Avenue and Hillsborough River in 1961.","null","Low woods.","null","null","null","null","null","Variegation showing on same branch in cultivation in collector's yard for 4 years.","null","null","null","null",FALSE,"null","-82.35","W","27.9167","N","https://cdn.plantatlas.org/img/specimens/USF/131723.jpg"
"15",81759,"null","3375","R. D. Thomas","S. Barbara, S. Thomas","USA","East Carroll Par.","Sapindaceae","Acer","null","null",171106,"null","null","null",TRUE,"3056","null","saccharinum","L.","null","North America","06/24/1967","Mississippi River at Lake Providence Port.","null","On banks of river.","Flower","null","null","null","null","Abundant; not cultivated.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/81759.jpg"
"20",221414,"null","671","C. E. Nauman","null","USA","Palm Beach Co.","Pteridaceae","Adiantum","null","null",107208,"null","null","null",TRUE,"null","null","raddianum","C. Presl","null","North America","04/13/1979","null","null","Greenhouse.","null","null","null","null","null","Cultivar 'Double Leaflet'.","null","null","null","null",FALSE,"Florida Atlantic University","-82","W","28","N","https://cdn.plantatlas.org/img/specimens/USF/221414.jpg"
"24",6080,"null","17","G. E. Moore","","USA","Manatee Co.","Asteraceae","Ageratum","null","null",31304,"null","null","null",TRUE,"286","null","houstonianum","Mill.","null","North America","02/13/1959","null","null","null","Flower","null","null","null","null","Ligules [ray florets] blue. Perhaps an escape from cultivation.","null","null","null","null",FALSE,"Palmetto","-82.572319","W","27.521427","N","https://cdn.plantatlas.org/img/specimens/USF/6080.jpg"
