barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
278613,null,37651,S. R. Hill,null,USA,Champaign Co.,Malvaceae,Abelmoschus,null,null,129242,null,null,null,TRUE,null,null,manihot,L.,Medik.,North America,09/08/2007,"Eddie Albert Gardens, Dodds Park, Parkland Way between Parkland College and N Mattis Avenue, Champaign; Rising 7.5' quadrangle. T19N, R8E, Sec. 3, SW¼, NE¼.",2007,Grown in vegetable garden plot.,Flower,null,null,null,null,"Flowers large, showy, pale yellow, generally somewhat pendulous especially in age, center purplish-red; fruit immature; cultivated herb to 1 m tall.",null,760,null,ft,FALSE,null,-88.2825,W,40.135,N,https://cdn.plantatlas.org/img/specimens/USF/278613.JPG
215466,null,22149,S. R. Hill,null,Dominica,St. Paul Par.,Euphorbiaceae,Acalypha,null,null,128494,null,null,null,TRUE,null,null,hispida,Burm. f.,null,West Indies,03/22/1991,"Archbold Tropical Research Center; Springfield Estate, Imperial Highway; mostly between entrance gate and concrete bridge below; near ATRC gate.",Mar 1991,Disturbed roadsides and slopes.,Flower,null,null,null,null,"Inflorescence red, pendulous; common cultivated hedge shrub 3-4 ft.",null,1200,null,ft,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/215466.jpg
270943,null,35442,S. R. Hill,,USA,Champaign Co.,Euphorbiaceae,Acalypha,null,null,249885,null,null,null,TRUE,2843,null,ostryifolia,"ex Rydberg, Per Axel",null,North America,08/31/2003,"Private residence, with research gardens and greenhouse; 1411 Winding Lane, Champaign; Thomasboro 7.5' quadrangle. T19N R8E SE¼ NE¼ SE¼ SW¼ Section 1.",2003,null,Fruit,Immature Fruit,Bud,null,null,"Occasional weed in cultivated plant pots, apparently came in with sandy soil from Beardstown, IL, area; annual herb 2 ft tall.",null,757,null,ft,FALSE,null,-88.24861111,W,40.12972222,N,https://cdn.plantatlas.org/img/specimens/USF/270943.jpg
116264,null,16528,D. B. Dunn,,USA,Miami-Dade Co.,Euphorbiaceae,Acalypha,null,null,128512,null,null,null,TRUE,1420,null,wilkesiana,Müll. Arg.,null,North America,04/02/1970,City of Homestead in vacant lots.,27-Mar-2018,Soil a sandy loam from decomposed marl.,Flower,null,null,null,null,Cultivated trees or shrubs.,null,null,null,null,FALSE,null,-80.477557,W,25.468722,N,https://cdn.plantatlas.org/img/specimens/USF/116264.jpg
278622,null,37663,S. R. Hill,,Bolivia,null,Asteraceae,Acanthospermum,null,null,231091,null,null,null,TRUE,1712,null,australe,Loefl.,Kuntze,South America,09/23/2007,null,2010,Garden plot.,Flower,null,null,null,null,"Cultivated annual herb 30 cm tall, dichotomously branched; flowers and fruits pale green.",null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/278622.jpg
280200,null,3894B,A. R. Franck,"A. Oberli, P.A. Lewis",Jamaica,Clarendon Par.,Acanthaceae,Acanthus,null,null,112968,null,null,null,TRUE,null,null,montanus,Nees,T. Anderson,West Indies,05/14/2015,"N of Peckham Woods, S bank of Cave River, 5.5 km WSW of B3 junction at Cave Valley.",null,"Ruderal, weedy upper bank of river.",Fruit,null,null,null,null,"Small, apparently naturalized population (cultivated plants ca. 30 m away); shrub to 1.5 m.",null,550,null,m,FALSE,null,-77.41527778,W,18.20527778,N,https://cdn.plantatlas.org/img/specimens/USF/280200.jpg
196408,null,17352,N. A. Harriman,,USA,Franklin Co.,Sapindaceae,Acer,null,null,129087,null,null,null,TRUE,null,null,campestre,L.,null,North America,07/09/1981,"In front of Main Library, Ohio State University campus, Columbus.",null,null,Fertile,null,null,null,null,Large cultivated tree.,null,null,null,null,FALSE,null,-82.998794,W,39.961176,N,https://cdn.plantatlas.org/img/specimens/USF/196408.jpg
238577,null,499,J. M. Kunzer,,USA,Volusia Co.,Sapindaceae,Acer,null,null,17168,null,null,null,TRUE,3408,null,negundo,L.,null,North America,04/09/2004,"727 Chicago Avenue; ca, 3.5 mi. ENE of the junction of I-95 and I-4.  T15S, R33E, Sec. 29.",null,null,Immature Fruit,null,null,null,null,"Small tree ca. 9 m tall, ca. 20 cm dbh, growing as a volunteer; this tree was non-cultivated.",null,null,null,null,FALSE,South Daytona,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/238577.jpg
81759,null,3375,R. D. Thomas,"S. Barbara, S. Thomas",USA,East Carroll Par.,Sapindaceae,Acer,null,null,171106,null,null,null,TRUE,3056,null,saccharinum,L.,null,North America,06/24/1967,Mississippi River at Lake Providence Port.,null,On banks of river.,Flower,null,null,null,null,Abundant; not cultivated.,null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/81759.jpg
256636,null,34098,S. R. Hill,,USA,Jackson Co.,Lamiaceae,Agastache,null,null,131106,null,null,null,TRUE,null,null,rupestris,Greene,Standl.,North America,07/27/2001,null,2001,null,Flower,null,null,null,null,"Flowers very pale cinnabar with pale yellow tint; foliage with strong anise aroma, grey-green; bushy-branched cultivated perennial herb 0.3 m tall; Agastache rupestris is native to Arizona and New Mexico.",null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/256636.JPG
304342,null,s.n.,S. H. Brown,,USA,Lee Co.,Asteraceae,Ageratum,null,null,250079,null,null,null,TRUE,1736,null,conyzoides,L.,null,North America,01/10/2021,"Alliance for the Arts, 10091 McGregor Boulevard, Fort Myers.",null,Public landscape.,Flower,null,null,null,null,Weedy plant (not cultivated) amongst cultivated ornamental grasses; common herb 12-18 in. tall; flower heads blue.,null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/304342.jpg
279782,null,14,S. C. Galasinski,,USA,DeKalb Co.,Betulaceae,Alnus,null,null,221839,null,null,null,TRUE,null,null,glutinosa,L.,Gaertn.,North America,09/13/1987,N.I.U. campus; lagoon along Castle Drive.,null,"Crataegus mollis, Morus alba, Cephalanthus occidentalis; ca. water's edge.",Fertile,null,null,null,null,Separate male and female flowers/fruits; cultivated.,null,null,null,null,FALSE,null,-88.306165,W,41.023366,N,https://cdn.plantatlas.org/img/specimens/USF/279782.jpg
111627,null,3664,H. M. Biegel,,England,Wiltshire Co.,Apocynaceae,Alstonia,null,null,170300,null,null,null,TRUE,null,null,venenata,R. Br.,null,Europe,12/21/1971,"Marlbourough Nurseries, Salisbury.",null,null,Flower,null,null,null,null,"Cultivated; rounded shrub, bare at base, 1-2 m high; a few red leaves; copious milky latex; flowers white.",null,null,null,null,FALSE,null,-1.783333,W,51.066667,N,https://cdn.plantatlas.org/img/specimens/USF/111627.jpg
261363,null,38532,S. R. Hill,,USA,Contra Costa Co.,Malvaceae,Althaea,null,null,129255,null,null,null,TRUE,null,null,cannabina,L.,null,North America,07/19/2010,"Residence of Kristin Yanker-Hansen, 5669 Contada Circle, Danville 94526; coordinate datum: WGS84/NAD83.",2010,Residential garden.,Flower,null,null,null,null,"Flowers pink, anthers darker purple; cultivated and escaped annual herb to 3 ft. tall, branches and plant mostly leaning over.",null,400,null,ft,FALSE,null,-121.98133,W,37.81951,N,https://cdn.plantatlas.org/img/specimens/USF/261363.JPG
265329,null,36441,S. R. Hill,,USA,Champaign Co.,Rosaceae,Amelanchier,null,null,126844,null,null,null,TRUE,null,null,sanguinea,Pursh,DC.,North America,06/26/2005,"1411 Winding Lane, Champaign; private residence; Thomasboro 7.5' quadrangle. T19N, R8E, Sec. 1, SE ¼, NE ¼, SE ¼, SW ¼.",2005,"Disturbed, organically rich, dark calcareous clay.",Fruit,Flower,null,null,null,"Cultivated tree ca. 4-5 m tall; flowers were white; fruit green, maturing reddish to grape-red.",null,757,null,ft,FALSE,null,-88.24861111,W,40.12972222,N,https://cdn.plantatlas.org/img/specimens/USF/265329.jpg
280340,null,37777,S. R. Hill,,USA,Champaign Co.,Fabaceae,Amorpha,null,null,244197,null,null,null,TRUE,null,null,nitens,F. E. Boynton,null,North America,06/15/2008,"Champaign; 1411 Winding Lane; Thomasboro 7.5' quadrangle. T19N, R8E, Sec. 1, SE¼, NE¼, SE¼, SW¼.",2008,Private residence.,Flower,null,null,null,null,"Flowers dark purple, anthers golden yellow; cultivated sub-shrub (dwarf shrub) 1 m tall in front yard.",null,757,null,ft,FALSE,null,-88.24861111,W,40.12972222,N,https://cdn.plantatlas.org/img/specimens/USF/280340.jpg
125869,null,1705,C. Dziekanowski,Dunn & Bolingbroke,Mexico,null,Polygonaceae,Antigonon,null,null,191433,null,null,null,TRUE,1578,null,leptopus,Hook. & Arn.,null,North America,08/09/1972,36 mi. N of Montemorelos.,null,Along fence by roadside; native thorn forest area.,Flower,null,null,null,null,Plants cultivated and wild.,null,null,null,null,FALSE,null,-99.845683,W,25.136416,N,https://cdn.plantatlas.org/img/specimens/USF/125869.JPG
219432,null,28858,S. R. Hill,,USA,Champaign Co.,Apocynaceae,Araujia,null,null,130889,null,null,null,TRUE,null,null,curassavica,L.,null,North America,10/30/1996,"Champaign, residential area, 1411 Winding Lane.",Oct 1996,null,Flower,Fruit,null,null,null,"Hoods orange, tepals red-orange; cultivated annual 1.5 m tall; abundant milky sap; fruits green.",null,null,null,null,FALSE,null,-88.243383,W,40.11642,N,https://cdn.plantatlas.org/img/specimens/USF/219432.JPG
